Row,ID #,Species,Bird Height,Foraging Location,Mixed Location,Combined Location,Foraging Behavior,Substrate type,Canopy height,% Height in Canopy
389,179,BWVI,6,B,B,B,G,T,8,0.75
390,179,BWVI,6,B,B,B,G,T,8,0.75
391,179,BWVI,6,B,B,B,G,T,8,0.75
482,209,BWVI,8,OS,B,B,G,T,9,0.89
205,103,AMRE,1.5,OS,B,B,G,D,11,0.14
78,50,YRWA,4,OB,B,B,G,T,11,0.36
75,48,NOPA,10,US,B,B,G,T,11,0.91
401,182,AMRE,2,S,B,B,G,T,12,0.17
60,39,BBTO,4,B,B,B,S,T,12,0.33
82,51,CMWA,13,OS,B,B,G,T,13,1.00
7,7,YRWA,0.2,OB,B,B,F,,,
13,12,NOPA,2.8,OS,B,B,G,,,
6,6,YRWA,0.1,UB,B,B,G,,,
1,1,YRWA,1,UB,B,B,P,,,
643,277,OVEN,1,D,D,D,G,D,8,0.13
646,278,OVEN,1,D,D,D,G,D,8,0.13
647,278,OVEN,1,D,D,D,G,D,8,0.13
648,278,OVEN,1,D,D,D,G,D,8,0.13
644,277,OVEN,2,D,D,D,G,D,8,0.25
649,278,OVEN,1,D,D,D,S,D,8,0.13
488,212,OVEN,1,D,D,D,G,D,12,0.08
500,219,OVEN,1,D,D,D,G,D,15,0.07
501,219,OVEN,1,D,D,D,G,D,15,0.07
502,219,OVEN,1,D,D,D,G,D,15,0.07
22,18,YRWA,1.5,D,D,D,G,,,
462,202,AMRE,0.2,F,F,F,H,B,2,0.10
147,85,YRWA,2,F,F,F,F,B,3,0.67
151,88,YRWA,1,UF,UF,F,G,B,3,0.33
145,84,YRWA,1,F,F,F,S,B,3,0.33
465,203,PRAW,3,OF,OF,F,G,D,3,1.00
466,203,PRAW,3,OF,OF,F,G,D,3,1.00
463,203,PRAW,3,UF,UF,F,G,D,3,1.00
464,203,PRAW,3,UF,UF,F,G,D,3,1.00
457,199,PRAW,4,F,F,F,F,S,5,0.80
454,199,PRAW,4,F,F,F,G,S,5,0.80
453,199,PRAW,4,OF,OF,F,G,S,5,0.80
456,199,PRAW,4,OF,OF,F,G,S,5,0.80
455,199,PRAW,4,F,F,F,H,S,5,0.80
448,196,PRAW,4,F,F,F,F,T,5,0.80
445,195,PRAW,4,OF,OF,F,G,T,5,0.80
447,195,PRAW,4,OF,OF,F,G,T,5,0.80
451,197,NOPA,4,UF,UF,F,G,T,5,0.80
458,200,PRAW,1,F,F,F,G,B,6,0.17
408,185,YRWA,0.5,OF,OF,F,G,B,6,0.08
436,192,PRAW,2,UF,UF,F,G,B,6,0.33
509,223,CMWA,3,OF,OF,F,G,T,6,0.50
72,45,NOPA,4,OF,OF,F,G,T,6,0.67
439,193,AMRE,6,UF,UF,F,G,T,6,1.00
590,259,BBTO,2.5,F,F,F,F,S,8,0.31
589,258,BBTO,3,F,F,F,F,S,8,0.38
210,106,CMWA,5,F,F,F,F,T,8,0.63
507,221,BBTO,3,OF,OF,F,F,T,8,0.38
635,274,BBTO,4,OF,OF,F,F,T,8,0.50
322,157,PRAW,4,F,F,F,G,T,8,0.50
387,179,BWVI,6,OF,OF,F,G,T,8,0.75
633,273,BAWW,7,OF,OF,F,G,T,8,0.88
639,275,BWVI,7,OF,OF,F,G,T,8,0.88
364,173,PAWA,2,F,F,F,G,D,9,0.22
365,173,PAWA,2,F,F,F,G,D,9,0.22
561,248,YRWA,0.3,OF,OF,F,G,D,9,0.03
560,248,YRWA,1,UF,UF,F,G,D,9,0.11
287,146,PAWA,2,OF,OF,F,G,G,9,0.22
289,146,PAWA,2,OF,OF,F,G,G,9,0.22
474,205,YRWA,0.1,F,F,F,G,GC,9,0.01
134,75,AMRE,1.5,F,F,F,F,T,9,0.17
136,76,BBTO,2,F,F,F,F,T,9,0.22
135,75,AMRE,2.5,F,F,F,F,T,9,0.28
256,131,BBTO,4,OF,OF,F,F,T,9,0.44
654,281,BBTO,5,OF,OF,F,F,T,9,0.56
624,270,CMWA,7,OF,OF,F,F,T,9,0.78
563,248,YRWA,2,OF,OF,F,G,T,9,0.22
562,248,YRWA,3,OF,OF,F,G,T,9,0.33
109,65,NOPA,4,OF,OF,F,G,T,9,0.44
627,271,BAWW,5,OF,OF,F,G,T,9,0.56
622,268,PRAW,6,OF,OF,F,G,T,9,0.67
37,28,CMWA,7,OF,OF,F,G,T,9,0.78
272,139,AMRE,5,OF,OF,F,H,T,9,0.56
656,281,BBTO,6,OF,OF,F,S,T,9,0.67
171,93,PRAW,0.1,F,F,F,F,B,10,0.01
